type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,55079021400,Other,17,2020-04-19,0,3.6,2022-03-05
Census Tract,55079021400,Other,18,2020-04-26,0,0,2022-03-05
Census Tract,55079021400,Other,19,2020-05-03,0,0.6,2022-03-05
Census Tract,55079021400,Other,20,2020-05-10,0,1.6,2022-03-05
Census Tract,55079021400,Other,21,2020-05-17,0,0.8,2022-03-05
Census Tract,55079021400,Other,22,2020-05-24,0,1.2,2022-03-05
Census Tract,55079021400,Other,23,2020-05-31,1,0.6,2022-03-05
Census Tract,55079021400,Other,24,2020-06-07,1,2,2022-03-05
Census Tract,55079021400,Other,25,2020-06-14,0,1.2,2022-03-05
Census Tract,55079021400,Other,26,2020-06-21,0,1.4,2022-03-05
Census Tract,55079021400,Other,27,2020-06-28,1,0.6,2022-03-05
Census Tract,55079021400,Other,28,2020-07-05,0,0.6,2022-03-05
Census Tract,55079021400,Other,29,2020-07-12,0,1.4,2022-03-05
Census Tract,55079021400,Other,30,2020-07-19,0,0.2,2022-03-05
Census Tract,55079021400,Other,31,2020-07-26,0,1.2,2022-03-05
Census Tract,55079021400,Other,32,2020-08-02,0,1.2,2022-03-05
Census Tract,55079021400,Other,33,2020-08-09,0,1,2022-03-05
Census Tract,55079021400,Other,34,2020-08-16,0,0.6,2022-03-05
Census Tract,55079021400,Other,35,2020-08-23,1,0.8,2022-03-05
Census Tract,55079021400,Other,36,2020-08-30,2,0.4,2022-03-05
Census Tract,55079021400,Other,37,2020-09-06,0,0.6,2022-03-05
Census Tract,55079021400,Other,38,2020-09-13,1,2.6,2022-03-05
Census Tract,55079021400,Other,39,2020-09-20,2,0.4,2022-03-05
Census Tract,55079021400,Other,40,2020-09-27,2,1.2,2022-03-05
Census Tract,55079021400,Other,41,2020-10-04,1,0.6,2022-03-05
Census Tract,55079021400,Other,42,2020-10-11,5,0.6,2022-03-05
Census Tract,55079021400,Other,43,2020-10-18,0,1.2,2022-03-05
Census Tract,55079021400,Other,44,2020-10-25,1,0.4,2022-03-05
Census Tract,55079021400,Other,45,2020-11-01,1,0.8,2022-03-05
Census Tract,55079021400,Other,46,2020-11-08,3,1,2022-03-05
Census Tract,55079021400,Other,47,2020-11-15,1,0.8,2022-03-05
Census Tract,55079021400,Other,48,2020-11-22,1,0,2022-03-05
Census Tract,55079021400,Other,49,2020-11-29,0,0.4,2022-03-05
Census Tract,55079021400,Other,50,2020-12-06,1,2,2022-03-05
Census Tract,55079021400,Other,51,2020-12-13,0,0.4,2022-03-05
Census Tract,55079021400,Other,52,2020-12-20,2,0.4,2022-03-05
Census Tract,55079021400,Other,53,2020-12-27,1,0,2022-03-05
Census Tract,55079021400,Other,54,2021-01-03,0,0.6,2022-03-05
Census Tract,55079021400,Other,55,2021-01-10,0,0.6,2022-03-05
Census Tract,55079021400,Other,56,2021-01-17,0,0.8,2022-03-05
Census Tract,55079021400,Other,57,2021-01-24,2,0.4,2022-03-05
Census Tract,55079021400,Other,58,2021-01-31,2,1.6,2022-03-05
Census Tract,55079021400,Other,59,2021-02-07,0,1.2,2022-03-05
Census Tract,55079021400,Other,60,2021-02-14,0,1.4,2022-03-05
Census Tract,55079021400,Other,61,2021-02-21,1,1,2022-03-05
Census Tract,55079021400,Other,62,2021-02-28,1,0.2,2022-03-05
Census Tract,55079021400,Other,63,2021-03-07,3,0.8,2022-03-05
Census Tract,55079021400,Other,64,2021-03-14,1,0.8,2022-03-05
Census Tract,55079021400,Other,65,2021-03-21,2,0.6,2022-03-05
Census Tract,55079021400,Other,66,2021-03-28,0,0.2,2022-03-05
Census Tract,55079021400,Other,67,2021-04-04,0,0.4,2022-03-05
Census Tract,55079021400,Other,68,2021-04-11,1,0.6,2022-03-05
Census Tract,55079021400,Other,69,2021-04-18,0,3.4,2022-03-05
Census Tract,55079021400,Other,70,2021-04-25,0,0.2,2022-03-05
Census Tract,55079021400,Other,71,2021-05-02,1,0.6,2022-03-05
Census Tract,55079021400,Other,72,2021-05-09,0,1.6,2022-03-05
Census Tract,55079021400,Other,73,2021-05-16,1,0.6,2022-03-05
Census Tract,55079021400,Other,74,2021-05-23,1,1,2022-03-05
Census Tract,55079021400,Other,75,2021-05-30,0,0.8,2022-03-05
Census Tract,55079021400,Other,76,2021-06-06,3,2.2,2022-03-05
Census Tract,55079021400,Other,77,2021-06-13,0,1,2022-03-05
Census Tract,55079021400,Other,78,2021-06-20,0,1.4,2022-03-05
Census Tract,55079021400,Other,79,2021-06-27,0,0.8,2022-03-05
Census Tract,55079021400,Other,80,2021-07-04,4,0.4,2022-03-05
Census Tract,55079021400,Other,81,2021-07-11,0,1.2,2022-03-05
Census Tract,55079021400,Other,82,2021-07-18,0,0.6,2022-03-05
Census Tract,55079021400,Other,83,2021-07-25,0,0.8,2022-03-05
Census Tract,55079021400,Other,84,2021-08-01,4,1.6,2022-03-05
Census Tract,55079021400,Other,85,2021-08-08,0,0.6,2022-03-05
Census Tract,55079021400,Other,86,2021-08-15,0,0.8,2022-03-05
Census Tract,55079021400,Other,87,2021-08-22,0,1,2022-03-05
Census Tract,55079021400,Other,88,2021-08-29,1,0.4,2022-03-05
Census Tract,55079021400,Other,89,2021-09-05,1,0.6,2022-03-05
Census Tract,55079021400,Other,90,2021-09-12,0,1.6,2022-03-05
Census Tract,55079021400,Other,91,2021-09-19,0,1.4,2022-03-05
Census Tract,55079021400,Other,92,2021-09-26,0,0.8,2022-03-05
Census Tract,55079021400,Other,93,2021-10-03,0,0.6,2022-03-05
Census Tract,55079021400,Other,94,2021-10-10,0,0.8,2022-03-05
Census Tract,55079021400,Other,95,2021-10-17,0,1.2,2022-03-05
Census Tract,55079021400,Other,96,2021-10-24,0,0.6,2022-03-05
Census Tract,55079021400,Other,97,2021-10-31,1,0.8,2022-03-05
Census Tract,55079021400,Other,98,2021-11-07,0,1,2022-03-05
Census Tract,55079021400,Other,99,2021-11-14,4,0.6,2022-03-05
Census Tract,55079021400,Other,100,2021-11-21,0,0.2,2022-03-05
Census Tract,55079021400,Other,101,2021-11-28,1,0.2,2022-03-05
Census Tract,55079021400,Other,102,2021-12-05,0,1.6,2022-03-05
Census Tract,55079021400,Other,103,2021-12-12,0,1,2022-03-05
Census Tract,55079021400,Other,104,2021-12-19,0,0.4,2022-03-05
Census Tract,55079021400,Other,105,2021-12-26,0,0,2022-03-05
Census Tract,55079021400,Other,106,2022-01-02,1,0.6,2022-03-05
Census Tract,55079021400,Other,107,2022-01-09,0,0.6,2022-03-05
Census Tract,55079021400,Other,108,2022-01-16,3,0.6,2022-03-05
Census Tract,55079021400,Other,109,2022-01-23,1,0.6,2022-03-05
Census Tract,55079021400,Other,110,2022-01-30,0,0.4,2022-03-05
Census Tract,55079021400,Other,111,2022-02-06,4,2.2,2022-03-05
Census Tract,55079021400,Other,112,2022-02-13,2,1.4,2022-03-05
Census Tract,55079021400,Other,113,2022-02-20,0,0.6,2022-03-05
Census Tract,55079021400,Other,114,2022-02-27,0,0.8,2022-03-05
Census Tract,55079021500,White,1,2019-12-29,0,0,2022-03-05
Census Tract,55079021500,White,2,2020-01-05,0,0,2022-03-05
Census Tract,55079021500,White,3,2020-01-12,0,0,2022-03-05
Census Tract,55079021500,White,4,2020-01-19,0,0.2,2022-03-05
Census Tract,55079021500,White,5,2020-01-26,0,0,2022-03-05
Census Tract,55079021500,White,6,2020-02-02,0,0,2022-03-05
Census Tract,55079021500,White,7,2020-02-09,0,0,2022-03-05
Census Tract,55079021500,White,8,2020-02-16,0,0,2022-03-05
Census Tract,55079021500,White,9,2020-02-23,0,0,2022-03-05
Census Tract,55079021500,White,10,2020-03-01,0,0,2022-03-05
Census Tract,55079021500,White,11,2020-03-08,0,0,2022-03-05
Census Tract,55079021500,White,12,2020-03-15,0,0,2022-03-05
Census Tract,55079021500,White,13,2020-03-22,0,0.4,2022-03-05
Census Tract,55079021500,White,14,2020-03-29,0,0,2022-03-05
Census Tract,55079021500,White,15,2020-04-05,0,0.2,2022-03-05
Census Tract,55079021500,White,16,2020-04-12,0,0,2022-03-05
Census Tract,55079021500,White,17,2020-04-19,0,0.2,2022-03-05
Census Tract,55079021500,White,18,2020-04-26,0,0,2022-03-05
Census Tract,55079021500,White,19,2020-05-03,0,0,2022-03-05
Census Tract,55079021500,White,20,2020-05-10,0,0,2022-03-05
Census Tract,55079021500,White,21,2020-05-17,0,0,2022-03-05
Census Tract,55079021500,White,22,2020-05-24,0,0,2022-03-05
Census Tract,55079021500,White,23,2020-05-31,1,0.2,2022-03-05
Census Tract,55079021500,White,24,2020-06-07,0,0,2022-03-05
Census Tract,55079021500,White,25,2020-06-14,1,0,2022-03-05
Census Tract,55079021500,White,26,2020-06-21,0,0,2022-03-05
Census Tract,55079021500,White,27,2020-06-28,0,0,2022-03-05
Census Tract,55079021500,White,28,2020-07-05,0,0,2022-03-05
Census Tract,55079021500,White,29,2020-07-12,0,0,2022-03-05
Census Tract,55079021500,White,30,2020-07-19,0,0,2022-03-05
Census Tract,55079021500,White,31,2020-07-26,0,0,2022-03-05
Census Tract,55079021500,White,32,2020-08-02,0,0,2022-03-05
Census Tract,55079021500,White,33,2020-08-09,0,0.2,2022-03-05
Census Tract,55079021500,White,34,2020-08-16,1,0.2,2022-03-05
Census Tract,55079021500,White,35,2020-08-23,0,0,2022-03-05
Census Tract,55079021500,White,36,2020-08-30,1,0,2022-03-05
Census Tract,55079021500,White,37,2020-09-06,0,0.2,2022-03-05
Census Tract,55079021500,White,38,2020-09-13,0,0,2022-03-05
Census Tract,55079021500,White,39,2020-09-20,0,0,2022-03-05
Census Tract,55079021500,White,40,2020-09-27,0,0.4,2022-03-05
Census Tract,55079021500,White,41,2020-10-04,0,0,2022-03-05
Census Tract,55079021500,White,42,2020-10-11,0,0,2022-03-05
Census Tract,55079021500,White,43,2020-10-18,0,0,2022-03-05
Census Tract,55079021500,White,44,2020-10-25,0,0,2022-03-05
Census Tract,55079021500,White,45,2020-11-01,0,0,2022-03-05
Census Tract,55079021500,White,46,2020-11-08,0,0.2,2022-03-05
Census Tract,55079021500,White,47,2020-11-15,0,0,2022-03-05
Census Tract,55079021500,White,48,2020-11-22,0,0.2,2022-03-05
Census Tract,55079021500,White,49,2020-11-29,0,0,2022-03-05
Census Tract,55079021500,White,50,2020-12-06,0,0,2022-03-05
Census Tract,55079021500,White,51,2020-12-13,0,0,2022-03-05
Census Tract,55079021500,White,52,2020-12-20,0,0,2022-03-05
Census Tract,55079021500,White,53,2020-12-27,0,0,2022-03-05
Census Tract,55079021500,White,54,2021-01-03,0,0,2022-03-05
Census Tract,55079021500,White,55,2021-01-10,0,0,2022-03-05
Census Tract,55079021500,White,56,2021-01-17,0,0,2022-03-05
Census Tract,55079021500,White,57,2021-01-24,0,0.2,2022-03-05
Census Tract,55079021500,White,58,2021-01-31,0,0,2022-03-05
Census Tract,55079021500,White,59,2021-02-07,1,0,2022-03-05
Census Tract,55079021500,White,60,2021-02-14,0,0,2022-03-05
Census Tract,55079021500,White,61,2021-02-21,0,0,2022-03-05
Census Tract,55079021500,White,62,2021-02-28,0,0,2022-03-05
Census Tract,55079021500,White,63,2021-03-07,1,0,2022-03-05
Census Tract,55079021500,White,64,2021-03-14,0,0,2022-03-05
Census Tract,55079021500,White,65,2021-03-21,0,0.4,2022-03-05
Census Tract,55079021500,White,66,2021-03-28,0,0,2022-03-05
Census Tract,55079021500,White,67,2021-04-04,0,0.2,2022-03-05
Census Tract,55079021500,White,68,2021-04-11,0,0,2022-03-05
Census Tract,55079021500,White,69,2021-04-18,0,0.2,2022-03-05
Census Tract,55079021500,White,70,2021-04-25,0,0,2022-03-05
Census Tract,55079021500,White,71,2021-05-02,0,0,2022-03-05
Census Tract,55079021500,White,72,2021-05-09,0,0,2022-03-05
Census Tract,55079021500,White,73,2021-05-16,0,0,2022-03-05
Census Tract,55079021500,White,74,2021-05-23,0,0,2022-03-05
Census Tract,55079021500,White,75,2021-05-30,0,0.2,2022-03-05
Census Tract,55079021500,White,76,2021-06-06,0,0,2022-03-05
Census Tract,55079021500,White,77,2021-06-13,0,0,2022-03-05
Census Tract,55079021500,White,78,2021-06-20,0,0,2022-03-05
Census Tract,55079021500,White,79,2021-06-27,0,0,2022-03-05
Census Tract,55079021500,White,80,2021-07-04,0,0,2022-03-05
Census Tract,55079021500,White,81,2021-07-11,0,0,2022-03-05
Census Tract,55079021500,White,82,2021-07-18,0,0,2022-03-05
Census Tract,55079021500,White,83,2021-07-25,0,0,2022-03-05
Census Tract,55079021500,White,84,2021-08-01,1,0,2022-03-05
Census Tract,55079021500,White,85,2021-08-08,0,0.2,2022-03-05
Census Tract,55079021500,White,86,2021-08-15,0,0.2,2022-03-05
Census Tract,55079021500,White,87,2021-08-22,0,0,2022-03-05
Census Tract,55079021500,White,88,2021-08-29,0,0,2022-03-05
Census Tract,55079021500,White,89,2021-09-05,0,0.2,2022-03-05
Census Tract,55079021500,White,90,2021-09-12,0,0,2022-03-05
Census Tract,55079021500,White,91,2021-09-19,0,0,2022-03-05
Census Tract,55079021500,White,92,2021-09-26,0,0,2022-03-05
Census Tract,55079021500,White,93,2021-10-03,0,0.4,2022-03-05
Census Tract,55079021500,White,94,2021-10-10,0,0,2022-03-05
Census Tract,55079021500,White,95,2021-10-17,0,0,2022-03-05
Census Tract,55079021500,White,96,2021-10-24,0,0,2022-03-05
Census Tract,55079021500,White,97,2021-10-31,0,0,2022-03-05
Census Tract,55079021500,White,98,2021-11-07,0,0.2,2022-03-05
Census Tract,55079021500,White,99,2021-11-14,0,0,2022-03-05
Census Tract,55079021500,White,100,2021-11-21,0,0.2,2022-03-05
Census Tract,55079021500,White,101,2021-11-28,0,0,2022-03-05
Census Tract,55079021500,White,102,2021-12-05,0,0,2022-03-05
Census Tract,55079021500,White,103,2021-12-12,0,0,2022-03-05
Census Tract,55079021500,White,104,2021-12-19,0,0,2022-03-05
Census Tract,55079021500,White,105,2021-12-26,0,0,2022-03-05
Census Tract,55079021500,White,106,2022-01-02,0,0,2022-03-05
Census Tract,55079021500,White,107,2022-01-09,0,0,2022-03-05
Census Tract,55079021500,White,108,2022-01-16,0,0,2022-03-05
Census Tract,55079021500,White,109,2022-01-23,0,0.2,2022-03-05
Census Tract,55079021500,White,110,2022-01-30,0,0,2022-03-05
Census Tract,55079021500,White,111,2022-02-06,0,0,2022-03-05
Census Tract,55079021500,White,112,2022-02-13,0,0,2022-03-05
Census Tract,55079021500,White,113,2022-02-20,0,0,2022-03-05
Census Tract,55079021500,White,114,2022-02-27,0,0,2022-03-05
Census Tract,55079021600,White,1,2019-12-29,0,0,2022-03-05
Census Tract,55079021600,White,2,2020-01-05,0,1.2,2022-03-05
Census Tract,55079021600,White,3,2020-01-12,0,1,2022-03-05
Census Tract,55079021600,White,4,2020-01-19,0,0.6,2022-03-05
Census Tract,55079021600,White,5,2020-01-26,0,0.6,2022-03-05
Census Tract,55079021600,White,6,2020-02-02,0,0,2022-03-05
Census Tract,55079021600,White,7,2020-02-09,0,0,2022-03-05
Census Tract,55079021600,White,8,2020-02-16,0,0.4,2022-03-05
Census Tract,55079021600,White,9,2020-02-23,1,0.2,2022-03-05
Census Tract,55079021600,White,10,2020-03-01,1,0.4,2022-03-05
Census Tract,55079021600,White,11,2020-03-08,0,0,2022-03-05
Census Tract,55079021600,White,12,2020-03-15,0,0.4,2022-03-05
Census Tract,55079021600,White,13,2020-03-22,0,0.4,2022-03-05
Census Tract,55079021600,White,14,2020-03-29,0,0,2022-03-05
Census Tract,55079021600,White,15,2020-04-05,0,0.4,2022-03-05
Census Tract,55079021600,White,16,2020-04-12,0,0.6,2022-03-05
Census Tract,55079021600,White,17,2020-04-19,0,0,2022-03-05
Census Tract,55079021600,White,18,2020-04-26,0,0.2,2022-03-05
Census Tract,55079021600,White,19,2020-05-03,0,0.2,2022-03-05
Census Tract,55079021600,White,20,2020-05-10,0,1.2,2022-03-05
Census Tract,55079021600,White,21,2020-05-17,0,0.2,2022-03-05
Census Tract,55079021600,White,22,2020-05-24,0,0.8,2022-03-05
Census Tract,55079021600,White,23,2020-05-31,0,0.4,2022-03-05
Census Tract,55079021600,White,24,2020-06-07,1,0.2,2022-03-05
Census Tract,55079021600,White,25,2020-06-14,0,0.6,2022-03-05
Census Tract,55079021600,White,26,2020-06-21,0,0,2022-03-05
Census Tract,55079021600,White,27,2020-06-28,1,0.2,2022-03-05
Census Tract,55079021600,White,28,2020-07-05,0,0.2,2022-03-05
Census Tract,55079021600,White,29,2020-07-12,0,0.2,2022-03-05
Census Tract,55079021600,White,30,2020-07-19,0,1.2,2022-03-05
Census Tract,55079021600,White,31,2020-07-26,0,0.2,2022-03-05
Census Tract,55079021600,White,32,2020-08-02,1,0.2,2022-03-05
Census Tract,55079021600,White,33,2020-08-09,0,0.4,2022-03-05
Census Tract,55079021600,White,34,2020-08-16,0,0.2,2022-03-05
Census Tract,55079021600,White,35,2020-08-23,1,0.4,2022-03-05
Census Tract,55079021600,White,36,2020-08-30,1,0.2,2022-03-05
Census Tract,55079021600,White,37,2020-09-06,0,0.8,2022-03-05
Census Tract,55079021600,White,38,2020-09-13,0,0.4,2022-03-05
Census Tract,55079021600,White,39,2020-09-20,0,0.2,2022-03-05
Census Tract,55079021600,White,40,2020-09-27,0,0.2,2022-03-05
Census Tract,55079021600,White,41,2020-10-04,0,0,2022-03-05
Census Tract,55079021600,White,42,2020-10-11,0,0.6,2022-03-05
Census Tract,55079021600,White,43,2020-10-18,0,0,2022-03-05
Census Tract,55079021600,White,44,2020-10-25,0,0.2,2022-03-05
Census Tract,55079021600,White,45,2020-11-01,0,0,2022-03-05
Census Tract,55079021600,White,46,2020-11-08,2,0.2,2022-03-05
Census Tract,55079021600,White,47,2020-11-15,0,0.2,2022-03-05
Census Tract,55079021600,White,48,2020-11-22,0,0.2,2022-03-05
Census Tract,55079021600,White,49,2020-11-29,0,0.2,2022-03-05
Census Tract,55079021600,White,50,2020-12-06,0,0.2,2022-03-05
Census Tract,55079021600,White,51,2020-12-13,2,0,2022-03-05
Census Tract,55079021600,White,52,2020-12-20,0,0,2022-03-05
Census Tract,55079021600,White,53,2020-12-27,0,0,2022-03-05
Census Tract,55079021600,White,54,2021-01-03,0,0.8,2022-03-05
Census Tract,55079021600,White,55,2021-01-10,0,1.4,2022-03-05
Census Tract,55079021600,White,56,2021-01-17,0,0.2,2022-03-05
Census Tract,55079021600,White,57,2021-01-24,0,0.8,2022-03-05
Census Tract,55079021600,White,58,2021-01-31,0,0.2,2022-03-05
Census Tract,55079021600,White,59,2021-02-07,1,0,2022-03-05
Census Tract,55079021600,White,60,2021-02-14,1,0.2,2022-03-05
Census Tract,55079021600,White,61,2021-02-21,0,0.4,2022-03-05
Census Tract,55079021600,White,62,2021-02-28,0,0.4,2022-03-05
Census Tract,55079021600,White,63,2021-03-07,0,0,2022-03-05
Census Tract,55079021600,White,64,2021-03-14,0,0.4,2022-03-05
Census Tract,55079021600,White,65,2021-03-21,0,0.4,2022-03-05
Census Tract,55079021600,White,66,2021-03-28,0,0,2022-03-05
Census Tract,55079021600,White,67,2021-04-04,0,0.4,2022-03-05
Census Tract,55079021600,White,68,2021-04-11,0,0.6,2022-03-05
Census Tract,55079021600,White,69,2021-04-18,0,0,2022-03-05
Census Tract,55079021600,White,70,2021-04-25,0,0.2,2022-03-05
Census Tract,55079021600,White,71,2021-05-02,0,0.2,2022-03-05
Census Tract,55079021600,White,72,2021-05-09,0,1.2,2022-03-05
Census Tract,55079021600,White,73,2021-05-16,0,0.2,2022-03-05
Census Tract,55079021600,White,74,2021-05-23,0,0.8,2022-03-05
Census Tract,55079021600,White,75,2021-05-30,0,0.4,2022-03-05
Census Tract,55079021600,White,76,2021-06-06,1,0.2,2022-03-05
Census Tract,55079021600,White,77,2021-06-13,0,0.6,2022-03-05
Census Tract,55079021600,White,78,2021-06-20,0,0,2022-03-05
Census Tract,55079021600,White,79,2021-06-27,0,0.2,2022-03-05
Census Tract,55079021600,White,80,2021-07-04,0,0.2,2022-03-05
Census Tract,55079021600,White,81,2021-07-11,0,0.2,2022-03-05
Census Tract,55079021600,White,82,2021-07-18,0,1.2,2022-03-05
Census Tract,55079021600,White,83,2021-07-25,3,0.2,2022-03-05
Census Tract,55079021600,White,84,2021-08-01,0,0.2,2022-03-05
Census Tract,55079021600,White,85,2021-08-08,0,0.4,2022-03-05
Census Tract,55079021600,White,86,2021-08-15,0,0,2022-03-05
Census Tract,55079021600,White,87,2021-08-22,0,0.6,2022-03-05
Census Tract,55079021600,White,88,2021-08-29,0,0.2,2022-03-05
Census Tract,55079021600,White,89,2021-09-05,0,0.8,2022-03-05
Census Tract,55079021600,White,90,2021-09-12,0,0.4,2022-03-05
Census Tract,55079021600,White,91,2021-09-19,0,0,2022-03-05
Census Tract,55079021600,White,92,2021-09-26,0,0.2,2022-03-05
Census Tract,55079021600,White,93,2021-10-03,0,0.2,2022-03-05
Census Tract,55079021600,White,94,2021-10-10,0,0.6,2022-03-05
Census Tract,55079021600,White,95,2021-10-17,0,0,2022-03-05
Census Tract,55079021600,White,96,2021-10-24,2,0.2,2022-03-05
Census Tract,55079021600,White,97,2021-10-31,0,0,2022-03-05
Census Tract,55079021600,White,98,2021-11-07,0,0,2022-03-05
Census Tract,55079021600,White,99,2021-11-14,1,0.4,2022-03-05
Census Tract,55079021600,White,100,2021-11-21,0,0.2,2022-03-05
Census Tract,55079021600,White,101,2021-11-28,0,0.2,2022-03-05
Census Tract,55079021600,White,102,2021-12-05,1,0.2,2022-03-05
Census Tract,55079021600,White,103,2021-12-12,0,0,2022-03-05
Census Tract,55079021600,White,104,2021-12-19,0,0,2022-03-05
Census Tract,55079021600,White,105,2021-12-26,0,0,2022-03-05
Census Tract,55079021600,White,106,2022-01-02,0,0.4,2022-03-05
Census Tract,55079021600,White,107,2022-01-09,0,1.4,2022-03-05
Census Tract,55079021600,White,108,2022-01-16,0,0.4,2022-03-05
Census Tract,55079021600,White,109,2022-01-23,1,0.8,2022-03-05
Census Tract,55079021600,White,110,2022-01-30,0,0.4,2022-03-05
Census Tract,55079021600,White,111,2022-02-06,0,0,2022-03-05
Census Tract,55079021600,White,112,2022-02-13,0,0.2,2022-03-05
Census Tract,55079021600,White,113,2022-02-20,0,0.4,2022-03-05
Census Tract,55079021600,White,114,2022-02-27,2,0.2,2022-03-05
Census Tract,55079021700,White,1,2019-12-29,0,1,2022-03-05
Census Tract,55079021700,White,2,2020-01-05,0,0.6,2022-03-05
Census Tract,55079021700,White,3,2020-01-12,2,0,2022-03-05
Census Tract,55079021700,White,4,2020-01-19,1,1.6,2022-03-05
Census Tract,55079021700,White,5,2020-01-26,0,0.4,2022-03-05
Census Tract,55079021700,White,6,2020-02-02,1,0.2,2022-03-05
Census Tract,55079021700,White,7,2020-02-09,2,0.6,2022-03-05
Census Tract,55079021700,White,8,2020-02-16,0,0.6,2022-03-05
Census Tract,55079021700,White,9,2020-02-23,0,1,2022-03-05
Census Tract,55079021700,White,10,2020-03-01,2,0,2022-03-05
Census Tract,55079021700,White,11,2020-03-08,0,0,2022-03-05
Census Tract,55079021700,White,12,2020-03-15,0,0.2,2022-03-05
Census Tract,55079021700,White,13,2020-03-22,0,0.4,2022-03-05
Census Tract,55079021700,White,14,2020-03-29,0,0.2,2022-03-05
Census Tract,55079021700,White,15,2020-04-05,0,0.2,2022-03-05
Census Tract,55079021700,White,16,2020-04-12,0,0.2,2022-03-05
Census Tract,55079021700,White,17,2020-04-19,0,0.2,2022-03-05
Census Tract,55079021700,White,18,2020-04-26,0,0.6,2022-03-05
Census Tract,55079021700,White,19,2020-05-03,0,0.2,2022-03-05
Census Tract,55079021700,White,20,2020-05-10,0,1.2,2022-03-05
Census Tract,55079021700,White,21,2020-05-17,0,0.6,2022-03-05
Census Tract,55079021700,White,22,2020-05-24,1,0.2,2022-03-05
Census Tract,55079021700,White,23,2020-05-31,1,0.6,2022-03-05
Census Tract,55079021700,White,24,2020-06-07,2,1.4,2022-03-05
Census Tract,55079021700,White,25,2020-06-14,9,0.4,2022-03-05
Census Tract,55079021700,White,26,2020-06-21,1,0.4,2022-03-05
Census Tract,55079021700,White,27,2020-06-28,1,1,2022-03-05
Census Tract,55079021700,White,28,2020-07-05,0,0.4,2022-03-05
Census Tract,55079021700,White,29,2020-07-12,0,0.6,2022-03-05
Census Tract,55079021700,White,30,2020-07-19,1,1,2022-03-05
Census Tract,55079021700,White,31,2020-07-26,0,1.8,2022-03-05
Census Tract,55079021700,White,32,2020-08-02,1,0.6,2022-03-05
Census Tract,55079021700,White,33,2020-08-09,1,1.2,2022-03-05
Census Tract,55079021700,White,34,2020-08-16,3,0.2,2022-03-05
Census Tract,55079021700,White,35,2020-08-23,1,0.2,2022-03-05
Census Tract,55079021700,White,36,2020-08-30,0,1.4,2022-03-05
Census Tract,55079021700,White,37,2020-09-06,0,0.6,2022-03-05
Census Tract,55079021700,White,38,2020-09-13,0,0.8,2022-03-05
Census Tract,55079021700,White,39,2020-09-20,0,1.2,2022-03-05
Census Tract,55079021700,White,40,2020-09-27,0,0.2,2022-03-05
Census Tract,55079021700,White,41,2020-10-04,1,0,2022-03-05
Census Tract,55079021700,White,42,2020-10-11,0,0.6,2022-03-05
Census Tract,55079021700,White,43,2020-10-18,0,1,2022-03-05
Census Tract,55079021700,White,44,2020-10-25,1,0.8,2022-03-05
Census Tract,55079021700,White,45,2020-11-01,1,0.8,2022-03-05
Census Tract,55079021700,White,46,2020-11-08,0,1.4,2022-03-05
Census Tract,55079021700,White,47,2020-11-15,0,0.8,2022-03-05
Census Tract,55079021700,White,48,2020-11-22,1,0,2022-03-05
Census Tract,55079021700,White,49,2020-11-29,0,0.6,2022-03-05
Census Tract,55079021700,White,50,2020-12-06,0,0.4,2022-03-05
Census Tract,55079021700,White,51,2020-12-13,1,0.2,2022-03-05
Census Tract,55079021700,White,52,2020-12-20,0,0.6,2022-03-05
Census Tract,55079021700,White,53,2020-12-27,2,1,2022-03-05
Census Tract,55079021700,White,54,2021-01-03,2,0.6,2022-03-05
Census Tract,55079021700,White,55,2021-01-10,2,0,2022-03-05
Census Tract,55079021700,White,56,2021-01-17,0,1.6,2022-03-05
Census Tract,55079021700,White,57,2021-01-24,0,0.4,2022-03-05
Census Tract,55079021700,White,58,2021-01-31,0,0.2,2022-03-05
Census Tract,55079021700,White,59,2021-02-07,0,0.6,2022-03-05
Census Tract,55079021700,White,60,2021-02-14,1,0.4,2022-03-05
Census Tract,55079021700,White,61,2021-02-21,0,0.6,2022-03-05
Census Tract,55079021700,White,62,2021-02-28,0,0,2022-03-05
Census Tract,55079021700,White,63,2021-03-07,2,0,2022-03-05
Census Tract,55079021700,White,64,2021-03-14,0,0.2,2022-03-05
Census Tract,55079021700,White,65,2021-03-21,1,0.2,2022-03-05
Census Tract,55079021700,White,66,2021-03-28,0,0.4,2022-03-05
Census Tract,55079021700,White,67,2021-04-04,1,0.2,2022-03-05
Census Tract,55079021700,White,68,2021-04-11,0,0.2,2022-03-05
Census Tract,55079021700,White,69,2021-04-18,0,0,2022-03-05
Census Tract,55079021700,White,70,2021-04-25,0,0.2,2022-03-05
Census Tract,55079021700,White,71,2021-05-02,0,0.8,2022-03-05
Census Tract,55079021700,White,72,2021-05-09,0,1.2,2022-03-05
Census Tract,55079021700,White,73,2021-05-16,0,0.6,2022-03-05
Census Tract,55079021700,White,74,2021-05-23,0,0.2,2022-03-05
Census Tract,55079021700,White,75,2021-05-30,0,0.4,2022-03-05
Census Tract,55079021700,White,76,2021-06-06,0,0.8,2022-03-05
Census Tract,55079021700,White,77,2021-06-13,0,1.2,2022-03-05
Census Tract,55079021700,White,78,2021-06-20,0,0.4,2022-03-05
